,City_ID,Country,Lat,Lng,Hotel Name
411,Esperance,AU,-33.86,121.89,Hospitality Esperance
412,Garden City,US,43.62,-116.24,TownePlace Suites by Marriott Boise Downtown/University
413,Rocky Mountain House,CA,52.38,-114.92,Walking Eagle Inn & Lodge
414,Zyryanka,RU,65.73,150.89,
415,Nova Granada,BR,-20.53,-49.32,Hotel Pousada Nova Granada
416,Atar,MR,20.52,-13.05,Oumou Elghoura
417,Llangefni,GB,53.26,-4.31,Bull Hotel
418,Palimbang,PH,14.9,120.78,Sir Nico Guesthouse and Resort
419,Ahuimanu,US,21.44,-157.84,Paradise Bay Resort
420,La Plata,AR,-34.92,-57.95,Hotel Corregidor
421,Toccoa,US,34.58,-83.33,Trembly Bald Mountain Resort
422,Naze,NG,5.43,7.07,Female Hostel C
423,Agadez,NE,16.97,7.99,Auberge d'Azel
424,Vila Praia de Ancora,PT,41.81,-8.85,Hotel Meira
425,Christchurch,NZ,-43.53,172.64,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
426,Aksu,KZ,52.04,76.93,AZIA PLAST
427,Prokopyevsk,RU,53.89,86.74,"Гостиница ""Заря"""
428,Hashtrud,IR,37.48,47.05,باشگاه فرهنگیان هشترود
429,Hermosillo,MX,29.09,-110.96,Hotel San Andrés
430,Inhambane,MZ,-23.87,35.38,MHL Turismo SA
431,San Policarpo,PH,12.18,125.51,Zal-Ann Beach Resort
432,Ambilobe,MG,-13.19,49.05,Hôtel & Restaurant DIANA Ambilobe
433,Krasnoturansk,RU,54.32,91.57,Sotsial'naya Gostinitsa
434,Sokoto,NG,13.06,5.24,RG Palace
435,Puerto Madryn,AR,-42.77,-65.04,Hotel Tolosa
436,Golpayegan,IR,33.46,50.29,TOURISM Hotel
437,Poum,MK,41.28,20.71,Dolno Tateši
438,Esfarayen,IR,37.08,57.51,Mellat
439,Vila Velha,BR,-3.71,-38.6,Hotel Iparana Paradise
440,The Valley,AI,18.22,-63.06,CeBlue Villas & Beach Resort
441,Yumbe,UG,3.47,31.25,Praford Hotel
442,Nianzishan,CN,47.51,122.88,Wenhua Hotel
443,Sobolevo,RU,54.43,31.9,
444,Palmer,AU,-34.85,139.16,Palmer Hotel
445,Meulaboh,ID,4.14,96.13,Kost Pria
446,Calbiga,PH,11.63,125.02,Lola Rosa
447,Dothan,US,31.22,-85.39,Courtyard by Marriott Dothan
448,Cabo San Lucas,MX,22.89,-109.91,Hotel Tesoro Los Cabos
